A,B,C,D
10.07,2.18,3.00,0.80
10.00,2.20,3.00,0.70
9.95,2.21,3.00,0.90
9.93,2.30,2.50,1.10
9.88,2.30,2.50,0.90
9.84,2.31,2.50,0.90
9.78,2.80,2.50,1.00
9.73,2.90,2.50,1.10
9.67,3.00,2.50,1.20
9.60,3.78,2.50,1.30
9.56,3.90,3.00,1.50
9.48,4.00,3.00,1.70
9.37,4.10,3.00,1.90
9.28,4.20,3.25,1.90
9.19,4.30,3.50,2.00
9.10,4.40,3.75,1.70
9.04,4.60,3.75,1.80
9.00,4.50,4.25,2.10
8.95,4.20,4.25,2.10
8.89,3.90,4.25,2.00
8.84,3.60,4.50,2.40
8.73,3.50,4.75,2.40
8.66,3.40,4.75,2.50
8.58,3.30,4.75,2.50
8.48,3.30,4.75,2.00
8.44,3.20,4.75,2.00
8.40,3.10,4.75,2.20
8.38,2.50,4.75,2.70
8.40,2.30,4.50,3.10
8.37,2.10,4.50,2.90
8.36,2.00,4.50,2.50
8.38,1.90,4.25,2.30
8.41,1.80,3.75,2.20
8.44,1.50,3.75,2.20
8.47,1.30,3.25,2.00
8.48,1.10,3.25,2.10
8.47,0.50,3.25,2.60
8.52,0.40,3.25,2.50
8.49,0.60,3.25,2.50
8.55,0.80,3.25,2.40
8.58,0.90,3.25,2.10
8.62,1.00,2.00,1.90
8.69,1.10,3.25,2.00
8.74,1.20,3.25,2.10
8.78,1.30,3.25,2.10
8.82,1.20,3.25,2.30
8.87,1.20,3.25,2.30
8.95,1.20,2.75,2.30
9.00,0.90,2.75,2.10
9.01,0.80,2.75,2.40
9.06,0.70,2.50,2.40
9.05,0.40,2.50,2.10
9.07,0.41,2.50,1.80
9.12,0.38,2.00,2.00
9.10,0.48,2.00,1.90
9.08,0.50,2.00,2.00
9.09,0.53,2.00,2.10
9.08,0.90,2.00,2.00
9.09,1.10,2.00,2.20
9.16,1.30,2.00,2.00
9.27,1.70,2.00,1.80
9.27,1.90,2.00,1.60
9.31,2.10,2.00,1.70
9.32,2.30,2.00,2.10
9.30,2.50,2.00,2.50
9.25,2.40,2.00,2.40
9.25,2.20,2.00,2.30
9.26,2.10,2.00,2.40
9.31,2.00,2.00,2.10
9.30,1.80,2.00,2.40
9.31,1.70,2.00,2.20
9.24,1.60,2.00,2.30
9.19,1.50,2.00,1.90
9.20,1.52,2.00,2.10
9.20,1.50,2.00,2.20
9.28,1.37,2.00,2.10
9.21,1.40,2.00,2.00
9.22,1.42,2.00,2.00
9.12,1.80,2.00,2.10
9.05,1.90,2.00,2.20
9.08,2.00,2.00,2.60
9.06,2.10,2.00,2.50
8.98,2.20,2.00,2.30
8.94,2.31,2.25,2.30
8.86,2.75,2.25,2.40
8.81,2.90,2.25,2.40
8.71,3.03,2.50,2.20
8.61,3.30,2.50,2.40
8.54,3.45,2.50,2.50
8.42,3.42,2.75,2.50
8.32,3.20,2.75,2.40
8.29,3.10,3.00,2.30
8.22,3.32,3.00,1.80
8.15,3.70,3.25,1.60
8.08,3.90,3.25,1.80
7.96,3.80,3.50,1.90
7.90,3.60,3.50,1.80
7.81,3.50,3.50,1.80
7.72,3.40,3.75,1.90
7.60,3.20,3.75,1.90
7.58,3.10,3.75,1.90
7.50,3.00,4.00,1.90
7.55,3.00,4.00,1.80
7.49,3.00,4.00,1.70
7.45,3.00,4.00,2.10
7.40,2.40,4.00,2.50
7.36,2.30,4.00,3.10
7.39,2.20,4.00,3.10
7.36,2.20,4.00,3.20
7.32,2.20,4.00,3.30
7.29,2.20,4.00,3.60
7.38,1.20,4.00,3.30
7.43,1.10,4.00,3.70
7.52,0.90,4.00,3.90
7.51,0.20,4.25,4.10
7.61,0.10,4.25,3.80
7.71,0.02,4.25,3.60
7.85,-1.90,3.75,3.20
8.09,-2.20,3.25,2.10
8.36,-2.50,2.50,1.60
8.75,-5.60,2.00,1.10
9.06,-5.80,2.00,1.20
9.36,-5.70,1.50,0.60
9.52,-5.50,1.25,0.60
9.62,-5.40,1.00,0.00
9.74,-5.30,1.00,-0.10
9.86,-4.60,1.00,-0.60
9.93,-4.51,1.00,-0.20
10.06,-4.40,1.00,-0.30
10.13,-2.41,1.00,-0.10
10.18,-2.30,1.00,0.50
10.17,-2.21,1.00,0.90
10.27,1.00,1.00,0.90
10.30,1.20,1.00,0.80
10.29,1.42,1.00,1.60
10.36,2.10,1.00,1.60
10.35,2.20,1.00,1.70
10.31,2.30,1.00,1.50
10.24,2.30,1.00,1.70
10.22,2.30,1.00,1.60
10.22,2.31,1.00,1.90
10.26,2.40,1.00,1.90
10.20,2.50,1.00,1.90
10.20,2.60,1.00,2.20
10.15,2.80,1.00,2.30
10.11,3.00,1.00,2.40
10.08,2.90,1.00,2.70
9.99,2.00,1.25,2.80
10.06,1.90,1.25,2.70
