A,B,C,D,A2,B2,C2,D2,A3,B3,C3,D3
9.95,2.21,3,0.9,10,2.2,3,0.7,10.07,2.18,3,0.8
9.93,2.3,2.5,1.1,9.95,2.21,3,0.9,10,2.2,3,0.7
9.88,2.3,2.5,0.9,9.93,2.3,2.5,1.1,9.95,2.21,3,0.9
9.84,2.31,2.5,0.9,9.88,2.3,2.5,0.9,9.93,2.3,2.5,1.1
9.78,2.8,2.5,1,9.84,2.31,2.5,0.9,9.88,2.3,2.5,0.9
9.73,2.9,2.5,1.1,9.78,2.8,2.5,1,9.84,2.31,2.5,0.9
9.67,3,2.5,1.2,9.73,2.9,2.5,1.1,9.78,2.8,2.5,1
9.6,3.78,2.5,1.3,9.67,3,2.5,1.2,9.73,2.9,2.5,1.1
9.56,3.9,3,1.5,9.6,3.78,2.5,1.3,9.67,3,2.5,1.2
9.48,4,3,1.7,9.56,3.9,3,1.5,9.6,3.78,2.5,1.3
9.37,4.1,3,1.9,9.48,4,3,1.7,9.56,3.9,3,1.5
9.28,4.2,3.25,1.9,9.37,4.1,3,1.9,9.48,4,3,1.7
9.19,4.3,3.5,2,9.28,4.2,3.25,1.9,9.37,4.1,3,1.9
9.1,4.4,3.75,1.7,9.19,4.3,3.5,2,9.28,4.2,3.25,1.9
9.04,4.6,3.75,1.8,9.1,4.4,3.75,1.7,9.19,4.3,3.5,2
9,4.5,4.25,2.1,9.04,4.6,3.75,1.8,9.1,4.4,3.75,1.7
8.95,4.2,4.25,2.1,9,4.5,4.25,2.1,9.04,4.6,3.75,1.8
8.89,3.9,4.25,2,8.95,4.2,4.25,2.1,9,4.5,4.25,2.1
8.84,3.6,4.5,2.4,8.89,3.9,4.25,2,8.95,4.2,4.25,2.1
8.73,3.5,4.75,2.4,8.84,3.6,4.5,2.4,8.89,3.9,4.25,2
8.66,3.4,4.75,2.5,8.73,3.5,4.75,2.4,8.84,3.6,4.5,2.4
8.58,3.3,4.75,2.5,8.66,3.4,4.75,2.5,8.73,3.5,4.75,2.4
8.48,3.3,4.75,2,8.58,3.3,4.75,2.5,8.66,3.4,4.75,2.5
8.44,3.2,4.75,2,8.48,3.3,4.75,2,8.58,3.3,4.75,2.5
8.4,3.1,4.75,2.2,8.44,3.2,4.75,2,8.48,3.3,4.75,2
8.38,2.5,4.75,2.7,8.4,3.1,4.75,2.2,8.44,3.2,4.75,2
8.4,2.3,4.5,3.1,8.38,2.5,4.75,2.7,8.4,3.1,4.75,2.2
8.37,2.1,4.5,2.9,8.4,2.3,4.5,3.1,8.38,2.5,4.75,2.7
8.36,2,4.5,2.5,8.37,2.1,4.5,2.9,8.4,2.3,4.5,3.1
8.38,1.9,4.25,2.3,8.36,2,4.5,2.5,8.37,2.1,4.5,2.9
8.41,1.8,3.75,2.2,8.38,1.9,4.25,2.3,8.36,2,4.5,2.5
8.44,1.5,3.75,2.2,8.41,1.8,3.75,2.2,8.38,1.9,4.25,2.3
8.47,1.3,3.25,2,8.44,1.5,3.75,2.2,8.41,1.8,3.75,2.2
8.48,1.1,3.25,2.1,8.47,1.3,3.25,2,8.44,1.5,3.75,2.2
8.47,0.5,3.25,2.6,8.48,1.1,3.25,2.1,8.47,1.3,3.25,2
8.52,0.4,3.25,2.5,8.47,0.5,3.25,2.6,8.48,1.1,3.25,2.1
8.49,0.6,3.25,2.5,8.52,0.4,3.25,2.5,8.47,0.5,3.25,2.6
8.55,0.8,3.25,2.4,8.49,0.6,3.25,2.5,8.52,0.4,3.25,2.5
8.58,0.9,3.25,2.1,8.55,0.8,3.25,2.4,8.49,0.6,3.25,2.5
8.62,1,2,1.9,8.58,0.9,3.25,2.1,8.55,0.8,3.25,2.4
8.69,1.1,3.25,2,8.62,1,2,1.9,8.58,0.9,3.25,2.1
8.74,1.2,3.25,2.1,8.69,1.1,3.25,2,8.62,1,2,1.9
8.78,1.3,3.25,2.1,8.74,1.2,3.25,2.1,8.69,1.1,3.25,2
8.82,1.2,3.25,2.3,8.78,1.3,3.25,2.1,8.74,1.2,3.25,2.1
8.87,1.2,3.25,2.3,8.82,1.2,3.25,2.3,8.78,1.3,3.25,2.1
8.95,1.2,2.75,2.3,8.87,1.2,3.25,2.3,8.82,1.2,3.25,2.3
9,0.9,2.75,2.1,8.95,1.2,2.75,2.3,8.87,1.2,3.25,2.3
9.01,0.8,2.75,2.4,9,0.9,2.75,2.1,8.95,1.2,2.75,2.3
9.06,0.7,2.5,2.4,9.01,0.8,2.75,2.4,9,0.9,2.75,2.1
9.05,0.4,2.5,2.1,9.06,0.7,2.5,2.4,9.01,0.8,2.75,2.4
9.07,0.41,2.5,1.8,9.05,0.4,2.5,2.1,9.06,0.7,2.5,2.4
9.12,0.38,2,2,9.07,0.41,2.5,1.8,9.05,0.4,2.5,2.1
9.1,0.48,2,1.9,9.12,0.38,2,2,9.07,0.41,2.5,1.8
9.08,0.5,2,2,9.1,0.48,2,1.9,9.12,0.38,2,2
9.09,0.53,2,2.1,9.08,0.5,2,2,9.1,0.48,2,1.9
9.08,0.9,2,2,9.09,0.53,2,2.1,9.08,0.5,2,2
9.09,1.1,2,2.2,9.08,0.9,2,2,9.09,0.53,2,2.1
9.16,1.3,2,2,9.09,1.1,2,2.2,9.08,0.9,2,2
9.27,1.7,2,1.8,9.16,1.3,2,2,9.09,1.1,2,2.2
9.27,1.9,2,1.6,9.27,1.7,2,1.8,9.16,1.3,2,2
9.31,2.1,2,1.7,9.27,1.9,2,1.6,9.27,1.7,2,1.8
9.32,2.3,2,2.1,9.31,2.1,2,1.7,9.27,1.9,2,1.6
9.3,2.5,2,2.5,9.32,2.3,2,2.1,9.31,2.1,2,1.7
9.25,2.4,2,2.4,9.3,2.5,2,2.5,9.32,2.3,2,2.1
9.25,2.2,2,2.3,9.25,2.4,2,2.4,9.3,2.5,2,2.5
9.26,2.1,2,2.4,9.25,2.2,2,2.3,9.25,2.4,2,2.4
9.31,2,2,2.1,9.26,2.1,2,2.4,9.25,2.2,2,2.3
9.3,1.8,2,2.4,9.31,2,2,2.1,9.26,2.1,2,2.4
9.31,1.7,2,2.2,9.3,1.8,2,2.4,9.31,2,2,2.1
9.24,1.6,2,2.3,9.31,1.7,2,2.2,9.3,1.8,2,2.4
9.19,1.5,2,1.9,9.24,1.6,2,2.3,9.31,1.7,2,2.2
9.2,1.52,2,2.1,9.19,1.5,2,1.9,9.24,1.6,2,2.3
9.2,1.5,2,2.2,9.2,1.52,2,2.1,9.19,1.5,2,1.9
9.28,1.37,2,2.1,9.2,1.5,2,2.2,9.2,1.52,2,2.1
9.21,1.4,2,2,9.28,1.37,2,2.1,9.2,1.5,2,2.2
9.22,1.42,2,2,9.21,1.4,2,2,9.28,1.37,2,2.1
9.12,1.8,2,2.1,9.22,1.42,2,2,9.21,1.4,2,2
9.05,1.9,2,2.2,9.12,1.8,2,2.1,9.22,1.42,2,2
9.08,2,2,2.6,9.05,1.9,2,2.2,9.12,1.8,2,2.1
9.06,2.1,2,2.5,9.08,2,2,2.6,9.05,1.9,2,2.2
8.98,2.2,2,2.3,9.06,2.1,2,2.5,9.08,2,2,2.6
8.94,2.31,2.25,2.3,8.98,2.2,2,2.3,9.06,2.1,2,2.5
8.86,2.75,2.25,2.4,8.94,2.31,2.25,2.3,8.98,2.2,2,2.3
8.81,2.9,2.25,2.4,8.86,2.75,2.25,2.4,8.94,2.31,2.25,2.3
8.71,3.03,2.5,2.2,8.81,2.9,2.25,2.4,8.86,2.75,2.25,2.4
8.61,3.3,2.5,2.4,8.71,3.03,2.5,2.2,8.81,2.9,2.25,2.4
8.54,3.45,2.5,2.5,8.61,3.3,2.5,2.4,8.71,3.03,2.5,2.2
8.42,3.42,2.75,2.5,8.54,3.45,2.5,2.5,8.61,3.3,2.5,2.4
8.32,3.2,2.75,2.4,8.42,3.42,2.75,2.5,8.54,3.45,2.5,2.5
8.29,3.1,3,2.3,8.32,3.2,2.75,2.4,8.42,3.42,2.75,2.5
8.22,3.32,3,1.8,8.29,3.1,3,2.3,8.32,3.2,2.75,2.4
8.15,3.7,3.25,1.6,8.22,3.32,3,1.8,8.29,3.1,3,2.3
8.08,3.9,3.25,1.8,8.15,3.7,3.25,1.6,8.22,3.32,3,1.8
7.96,3.8,3.5,1.9,8.08,3.9,3.25,1.8,8.15,3.7,3.25,1.6
7.9,3.6,3.5,1.8,7.96,3.8,3.5,1.9,8.08,3.9,3.25,1.8
7.81,3.5,3.5,1.8,7.9,3.6,3.5,1.8,7.96,3.8,3.5,1.9
7.72,3.4,3.75,1.9,7.81,3.5,3.5,1.8,7.9,3.6,3.5,1.8
7.6,3.2,3.75,1.9,7.72,3.4,3.75,1.9,7.81,3.5,3.5,1.8
7.58,3.1,3.75,1.9,7.6,3.2,3.75,1.9,7.72,3.4,3.75,1.9
7.5,3,4,1.9,7.58,3.1,3.75,1.9,7.6,3.2,3.75,1.9
7.55,3,4,1.8,7.5,3,4,1.9,7.58,3.1,3.75,1.9
7.49,3,4,1.7,7.55,3,4,1.8,7.5,3,4,1.9
7.45,3,4,2.1,7.49,3,4,1.7,7.55,3,4,1.8
7.4,2.4,4,2.5,7.45,3,4,2.1,7.49,3,4,1.7
7.36,2.3,4,3.1,7.4,2.4,4,2.5,7.45,3,4,2.1
7.39,2.2,4,3.1,7.36,2.3,4,3.1,7.4,2.4,4,2.5
7.36,2.2,4,3.2,7.39,2.2,4,3.1,7.36,2.3,4,3.1
7.32,2.2,4,3.3,7.36,2.2,4,3.2,7.39,2.2,4,3.1
7.29,2.2,4,3.6,7.32,2.2,4,3.3,7.36,2.2,4,3.2
7.38,1.2,4,3.3,7.29,2.2,4,3.6,7.32,2.2,4,3.3
7.43,1.1,4,3.7,7.38,1.2,4,3.3,7.29,2.2,4,3.6
7.52,0.9,4,3.9,7.43,1.1,4,3.7,7.38,1.2,4,3.3
7.51,0.2,4.25,4.1,7.52,0.9,4,3.9,7.43,1.1,4,3.7
7.61,0.1,4.25,3.8,7.51,0.2,4.25,4.1,7.52,0.9,4,3.9
7.71,0.02,4.25,3.6,7.61,0.1,4.25,3.8,7.51,0.2,4.25,4.1
7.85,-1.9,3.75,3.2,7.71,0.02,4.25,3.6,7.61,0.1,4.25,3.8
8.09,-2.2,3.25,2.1,7.85,-1.9,3.75,3.2,7.71,0.02,4.25,3.6
8.36,-2.5,2.5,1.6,8.09,-2.2,3.25,2.1,7.85,-1.9,3.75,3.2
8.75,-5.6,2,1.1,8.36,-2.5,2.5,1.6,8.09,-2.2,3.25,2.1
9.06,-5.8,2,1.2,8.75,-5.6,2,1.1,8.36,-2.5,2.5,1.6
9.36,-5.7,1.5,0.6,9.06,-5.8,2,1.2,8.75,-5.6,2,1.1
9.52,-5.5,1.25,0.6,9.36,-5.7,1.5,0.6,9.06,-5.8,2,1.2
9.62,-5.4,1,0,9.52,-5.5,1.25,0.6,9.36,-5.7,1.5,0.6
9.74,-5.3,1,-0.1,9.62,-5.4,1,0,9.52,-5.5,1.25,0.6
9.86,-4.6,1,-0.6,9.74,-5.3,1,-0.1,9.62,-5.4,1,0
9.93,-4.51,1,-0.2,9.86,-4.6,1,-0.6,9.74,-5.3,1,-0.1
10.06,-4.4,1,-0.3,9.93,-4.51,1,-0.2,9.86,-4.6,1,-0.6
10.13,-2.41,1,-0.1,10.06,-4.4,1,-0.3,9.93,-4.51,1,-0.2
10.18,-2.3,1,0.5,10.13,-2.41,1,-0.1,10.06,-4.4,1,-0.3
10.17,-2.21,1,0.9,10.18,-2.3,1,0.5,10.13,-2.41,1,-0.1
10.27,1,1,0.9,10.17,-2.21,1,0.9,10.18,-2.3,1,0.5
10.3,1.2,1,0.8,10.27,1,1,0.9,10.17,-2.21,1,0.9
10.29,1.42,1,1.6,10.3,1.2,1,0.8,10.27,1,1,0.9
10.36,2.1,1,1.6,10.29,1.42,1,1.6,10.3,1.2,1,0.8
10.35,2.2,1,1.7,10.36,2.1,1,1.6,10.29,1.42,1,1.6
10.31,2.3,1,1.5,10.35,2.2,1,1.7,10.36,2.1,1,1.6
10.24,2.3,1,1.7,10.31,2.3,1,1.5,10.35,2.2,1,1.7
10.22,2.3,1,1.6,10.24,2.3,1,1.7,10.31,2.3,1,1.5
10.22,2.31,1,1.9,10.22,2.3,1,1.6,10.24,2.3,1,1.7
10.26,2.4,1,1.9,10.22,2.31,1,1.9,10.22,2.3,1,1.6
10.2,2.5,1,1.9,10.26,2.4,1,1.9,10.22,2.31,1,1.9
10.2,2.6,1,2.2,10.2,2.5,1,1.9,10.26,2.4,1,1.9
10.15,2.8,1,2.3,10.2,2.6,1,2.2,10.2,2.5,1,1.9
10.11,3,1,2.4,10.15,2.8,1,2.3,10.2,2.6,1,2.2
10.08,2.9,1,2.7,10.11,3,1,2.4,10.15,2.8,1,2.3
9.99,2,1.25,2.8,10.08,2.9,1,2.7,10.11,3,1,2.4
10.06,1.9,1.25,2.7,9.99,2,1.25,2.8,10.08,2.9,1,2.7
10.08,1.8,1.25,2.7,10.06,1.9,1.25,2.7,9.99,2,1.25,2.8
10.2,1.7,1.5,2.6,10.08,1.8,1.25,2.7,10.06,1.9,1.25,2.7
10.31,1.6,1.5,2.5,10.2,1.7,1.5,2.6,10.08,1.8,1.25,2.7
10.42,1.5,1.5,3,10.31,1.6,1.5,2.5,10.2,1.7,1.5,2.6
10.53,0.7,1.5,3,10.42,1.5,1.5,3,10.31,1.6,1.5,2.5
10.67,0.6,1.25,3,10.53,0.7,1.5,3,10.42,1.5,1.5,3
10.79,0.5,1,2.8,10.67,0.6,1.25,3,10.53,0.7,1.5,3
10.83,-0.4,1,2.7,10.79,0.5,1,2.8,10.67,0.6,1.25,3
11.01,-0.5,1,2.7,10.83,-0.4,1,2.7,10.79,0.5,1,2.8
11.16,-0.6,1,2.7,11.01,-0.5,1,2.7,10.83,-0.4,1,2.7
11.26,-0.7,1,2.6,11.16,-0.6,1,2.7,11.01,-0.5,1,2.7
11.34,-0.8,1,2.4,11.26,-0.7,1,2.6,11.16,-0.6,1,2.7
11.45,-0.9,1,2.4,11.34,-0.8,1,2.4,11.26,-0.7,1,2.6
11.52,-1,0.75,2.4,11.45,-0.9,1,2.4,11.34,-0.8,1,2.4
11.56,-1,0.75,2.6,11.52,-1,0.75,2.4,11.45,-0.9,1,2.4
11.65,-1,0.75,2.6,11.56,-1,0.75,2.6,11.52,-1,0.75,2.4
11.8,-1,0.75,2.5,11.65,-1,0.75,2.6,11.56,-1,0.75,2.6
11.91,-1,0.75,2.2,11.8,-1,0.75,2.5,11.65,-1,0.75,2.6
11.95,-1,0.75,2.2,11.91,-1,0.75,2.2,11.8,-1,0.75,2.5
12.13,-1.1,0.75,2,11.95,-1,0.75,2.2,11.91,-1,0.75,2.2
12.14,-1.3,0.75,1.9,12.13,-1.1,0.75,2,11.95,-1,0.75,2.2
12.12,-1.2,0.75,1.7,12.14,-1.3,0.75,1.9,12.13,-1.1,0.75,2
12.14,-0.5,0.75,1.2,12.12,-1.2,0.75,1.7,12.14,-1.3,0.75,1.9
12.13,-0.4,0.5,1.4,12.14,-0.5,0.75,1.2,12.12,-1.2,0.75,1.7
12.09,-0.3,0.5,1.6,12.13,-0.4,0.5,1.4,12.14,-0.5,0.75,1.2
12.09,0,0.5,1.6,12.09,-0.3,0.5,1.6,12.13,-0.4,0.5,1.4
12.05,0.1,0.5,1.3,12.09,0,0.5,1.6,12.09,-0.3,0.5,1.6
12.08,0.2,0.5,1.1,12.05,0.1,0.5,1.3,12.09,0,0.5,1.6
12.01,0.6,0.5,0.7,12.08,0.2,0.5,1.1,12.05,0.1,0.5,1.3
11.99,0.7,0.25,0.9,12.01,0.6,0.5,0.7,12.08,0.2,0.5,1.1
11.94,0.8,0.25,0.8,11.99,0.7,0.25,0.9,12.01,0.6,0.5,0.7
11.99,1.45,0.25,0.8,11.94,0.8,0.25,0.8,11.99,0.7,0.25,0.9
11.95,1.55,0.25,0.7,11.99,1.45,0.25,0.8,11.94,0.8,0.25,0.8
11.84,1.5,0.25,0.5,11.95,1.55,0.25,0.7,11.99,1.45,0.25,0.8
11.74,1.3,0.25,0.7,11.84,1.5,0.25,0.5,11.95,1.55,0.25,0.7
11.69,1.2,0.25,0.5,11.74,1.3,0.25,0.7,11.84,1.5,0.25,0.5
11.54,1.1,0.15,0.5,11.69,1.2,0.25,0.5,11.74,1.3,0.25,0.7
11.62,1.3,0.15,0.4,11.54,1.1,0.15,0.5,11.69,1.2,0.25,0.5
11.51,1.4,0.15,0.4,11.62,1.3,0.15,0.4,11.54,1.1,0.15,0.5
11.54,1.5,0.05,0.3,11.51,1.4,0.15,0.4,11.62,1.3,0.15,0.4
11.56,1.5,0.05,0.4,11.54,1.5,0.05,0.3,11.51,1.4,0.15,0.4
11.58,1.5,0.05,0.3,11.56,1.5,0.05,0.4,11.54,1.5,0.05,0.3
